,crop_year,machine,variety,is_mature,acres,vpm
474,2023,3,HBC 586,1,,24.382
475,2023,3,HBC 586,2,,68.857
476,2023,3,HBC 638,1,,17.838
477,2023,3,HBC 1019,1,,19.349
478,2023,1,Simcoe,1,,50.872
479,2023,1,Simcoe,1,,50.219
480,2023,1,Simcoe,1,,33.338
481,2023,1,Simcoe,1,,39.627
482,2023,1,Simcoe,1,,33.191
483,2023,1,Simcoe,1,,30.026
484,2023,1,Mosaic,1,,34.576
485,2023,1,Mosaic,1,,23.681
486,2023,1,Mosaic,1,,24.552
487,2023,1,Mosaic,1,,36.747
488,2023,1,Mosaic,1,,27.272
489,2023,1,Mosaic,1,,24.56
490,2023,1,Mosaic,2,,28.807
491,2023,1,HBC 682,1,,34.249
492,2023,1,HBC 682,1,,26.239
493,2023,1,HBC 682,1,,32.782
494,2023,1,HBC 682,1,,29.88
495,2023,1,Palisade,1,,19.975
496,2023,1,Citra,1,,34.376
497,2023,1,Citra,1,,39.943
498,2023,1,Citra,1,,19.625
499,2023,1,Citra,1,,26.313
500,2023,1,Sabro,1,,23.137
501,2023,1,Idaho 7,1,,14.587
502,2023,1,HBC  522,2,,41.522
503,2023,1,Simcoe,1,,32.236
504,2023,2,Simcoe,1,,40.517
505,2023,2,Simcoe,1,,29.057
506,2023,2,Simcoe,1,,34.239
507,2023,2,Mosaic,1,,33.96
508,2023,2,HBC 682,1,,27.157
509,2023,2,Palisade,1,,24.681
510,2023,2,Citra,1,,32.607
511,2023,2,Citra,1,,37.283
512,2023,2,Talus,1,,44.489
513,2023,2,Cascade,1,,24.847
514,2023,2,HBC  586,1,,35.508
