Observation,Year,Field,Variety,Maturity,Acres,String,String Count,Target VPM,Target Hrs,Acutal Hrs,Actual VPM,VPM Per Machine,Machine Type
1,2020,# 10,Simcoe,mature,8.55,2.5,19002.375,20,15.8353125,9.92,31.92603327,31.92603327,Pilot
1,2020,9,Simcoe,mature,5.14,2.5,11423.65,20,9.519708333,4.66,40.85711731,40.85711731,Pilot
1,2020,BHM,Simcoe,mature,11.41,2.5,25358.725,20,21.13227083,10.76,39.27931382,39.27931382,Pilot
1,2020,75,Ahtanum,mature,32.64,2,58033.92,26,37.20123077,45.92,21.06341463,21.06341463,Pilot
1,2020,76,Ahtanum,mature,19.62,2,34884.36,26,22.36176923,25.43,22.86299646,22.86299646,Pilot
1,2020,66,Mosaic,mature,35.51,2,63136.78,22,47.83089394,48.26,21.80438596,21.80438596,Pilot
1,2020,BHM,Mosaic,mature,0.92,2,1635.76,10,2.726266667,1,27.26266667,27.26266667,Pilot
1,2020,1,HBC 682,mature,18.81,2.5,41805.225,23,30.2936413,17.59,39.61078738,39.61078738,Pilot
1,2020,9,Palisade,mature,7.5,2.5,16668.75,20,13.890625,8.42,32.99435867,32.99435867,Pilot
1,2020,10,Citra,mature,7.13,2.5,15846.425,25,10.56428333,8.33,31.70553221,15.85276611,Pilot
1,2020,52,Citra,mature,22.79,3,60780.93,25,40.52062,39.61,25.57474123,25.57474123,Pilot
1,2020,BHM,Citra,mature,7.17,2.5,15935.325,25,10.62355,8.42,31.54260689,31.54260689,Pilot
1,2020,9,Citra,mature,5.14,2.5,11423.65,25,7.615766667,4.83,39.41908213,39.41908213,Pilot
1,2020,Rice-west,Sabro,mature,16.46,2,29265.88,22,22.17112121,22.06,22.11081898,22.11081898,Pilot
1,2020,Rice-east,Sabro,mature,15.39,2,27363.42,22,20.72986364,20.72,22.01047297,22.01047297,Pilot
1,2020,80,Sabro,mature,23.72,2,42174.16,22,31.95012121,32.59,21.56804746,21.56804746,Pilot
1,2020,78,Sabro,mature,35.01,2,62247.78,22,47.15740909,53.66,19.33401044,19.33401044,Pilot
1,2020,72,Talus,mature,11.95,2,21247.1,22,16.09628788,12.49,28.35214839,28.35214839,Pilot
1,2020,76,Talus,mature,1.23,2,2186.94,22,1.656772727,1.5,24.29933333,24.29933333,Pilot
1,2020,83,Talus,mature,17.1,2,30403.8,22,23.03318182,21.9,23.13835616,23.13835616,Pilot
1,2020,76,HBC 522,mature,1.23,2,2186.94,15,2.43,2,18.22,18.22,Pilot
1,2020,76,HBC 472,mature,4.9,2,8712.2,20,7.260166667,4.25,34.1654902,34.1654902,Pilot
1,2020,80,HBC 472,mature,13.91,2,24731.98,20,20.60998333,16.34,25.22641779,25.22641779,Pilot
1,2020,83,Idaho 7,mature,20.9,2,37160.2,22,28.15166667,26.68,23.21351824,23.21351824,Pilot
1,2020,84,Idaho 7,babies,19.04,2,33853.12,22,25.64630303,27.5,20.51704242,20.51704242,Pilot
1,2020,84,HBC 586,babies,15,1,13335,22,10.10227273,10.5,21.16666667,21.16666667,Pilot
1,2020,7 east,HBC 586,mature,4.7,2,8356.6,22,6.330757576,6.25,22.28426667,22.28426667,Pilot
1,2020,Tri-40,HBC 638,babies,10.76,2,19131.28,22,14.49339394,10.33,30.86686028,30.86686028,Pilot
1,2021,# 10,Simcoe,mature,8.55,3,22802.85,30,12.66825,10.5,36.195,36.195,Pilot
1,2021,# 16,Simcoe,mature,5.17,3,13788.39,80,2.87258125,13,17.67742308,17.67742308,Pilot
1,2021,6,Simcoe,mature,8.25,2,14668.5,80,3.0559375,9,27.16388889,27.16388889,Pilot
1,2021,6,Simcoe,babies,23.36,2,41534.08,26,26.62441026,25.5,27.14645752,27.14645752,Pilot
1,2021,9,Simcoe,mature,5.14,3,13708.38,30,7.615766667,6.25,36.55568,36.55568,Pilot
1,2021,BHM,Simcoe,mature,11.41,3,30430.47,30,16.90581667,14.5,34.97755172,34.97755172,Pilot
1,2021,76,Ahtanum,mature,23.3,2,41427.4,24,28.76902778,38.25,18.05115468,18.05115468,Pilot
1,2021,62,Mosaic,mature,34.79,2,61856.62,50,20.61887333,55.5,18.57556156,18.57556156,Pilot
1,2021,BHM,Mosaic,mature,0.92,3,2453.64,10,4.0894,2.5,16.3576,16.3576,Pilot
1,2021,77,HBC 682,mature,22.97,2,40840.66,55,12.37595758,26.25,25.93057778,25.93057778,Pilot
1,2021,9,Palisade,mature,7.5,2,13335,30,7.408333333,9,24.69444444,24.69444444,Pilot
1,2021,13,Palisade,babies,9,1,8001,30,4.445,4,33.3375,33.3375,Pilot
